frame_id,capture_time,processing_ms,detection_ok,detection_count,changed_pixel_ratio,compensation_mode,compensation_ok,inlier_ratio,overlap_ratio,track_id,visible,prediction_only,measured_x,measured_y,filtered_x,filtered_y,predicted_x,predicted_y,center_error_x,center_error_y,velocity_x,velocity_y,miss_count,confidence,pan,tilt,zoom,command_reason,captured,sharpness
86,561.843000,16.076,1,0,0.001536,orb,1,0.9885386819484241,1.0,3,0,1,,,45.68949508666992,70.3463363647461,46.68133229255676,67.77119941711426,-273.31866770744324,-112.22880058288574,5.510206699371338,-14.306316375732422,12,0.21031089581746076,0,0,0,prediction_stale,0,0.0
87,561.875000,37.027,1,2,0.020925,orb,1,0.9474497681607419,0.996875,3,1,0,60.0,18.5,54.30951690673828,39.18925094604492,56.99228759765625,30.46627944946289,-263.00771240234377,-149.5337205505371,14.904281616210938,-48.46095275878906,0,0.7224693811339451,-20,20,0,tracking,0,0.0
88,561.921000,15.193,1,0,0.012745,orb,1,0.8853211009174312,0.9988541666666667,3,0,1,,,54.995113372802734,36.96004867553711,57.677884063720704,28.237077178955076,-262.3221159362793,-151.76292282104492,14.904281616210938,-48.46095275878906,1,0.6809273917186989,-20,20,0,tracking,0,0.0
89,561.953000,15.410,1,2,0.030940,orb,1,0.91875,0.9950086805555556,3,1,0,64.0,18.0,59.008216857910156,28.1904239654541,62.372499008178714,18.07618782043457,-257.6275009918213,-161.92381217956543,18.69045639038086,-56.19020080566406,0,0.81086305360047,-20,20,0,tracking,0,0.0
90,562.000000,25.585,1,0,0.007651,orb,1,0.8317901234567902,0.9955815972222222,3,0,1,,,59.88666915893555,25.549484252929688,63.250951309204105,15.435248107910157,-256.7490486907959,-164.56475189208984,18.69045639038086,-56.19020080566406,1,0.7632248492014165,-20,20,0,tracking,0,0.0
91,562.031000,15.848,1,2,0.015597,orb,1,0.9709923664122138,0.9962413194444445,3,1,0,64.0,17.5,61.626949310302734,21.735580444335938,65.209767036438,11.23128776550293,-254.790232963562,-168.76871223449706,19.904542922973633,-58.357181549072266,0,0.8516999458484059,-20,20,0,tracking,0,0.0
92,562.078000,16.320,1,0,0.015282,orb,1,0.9657320872274143,0.996875,3,0,1,,,62.562461853027344,18.992794036865234,66.1452795791626,8.488501358032227,-253.8547204208374,-171.51149864196776,19.904542922973633,-58.357181549072266,1,0.8016625740297849,-20,20,0,tracking,0,0.0
93,562.125000,45.430,1,0,0.015245,orb,1,0.8666666666666667,0.9961892361111111,3,0,1,,,63.49797439575195,16.25000762939453,67.08079212188721,5.745714950561524,-252.9192078781128,-174.25428504943847,19.904542922973633,-58.357181549072266,2,0.751625202211164,-20,20,0,tracking,0,0.0
94,562.171000,15.497,1,3,0.048577,orb,1,0.8838304552590267,0.9897916666666666,3,1,0,20.0,156.0,50.88010787963867,56.96744918823242,52.01434266090393,54.31576551437378,-267.98565733909606,-125.68423448562622,6.301304340362549,-14.731575965881348,0,0.12245850055699425,-20,20,0,tracking,0,0.0
95,562.203000,15.347,1,0,0.009465,orb,1,0.9192245557350566,0.9996875,3,0,1,,,51.081748962402344,56.49604034423828,52.2159837436676,53.84435667037964,-267.7840162563324,-126.15564332962036,6.301304340362549,-14.731575965881348,1,0.1175601605347259,-20,20,0,tracking,0,0.0
96,562.234000,24.723,1,0,0.019045,orb,1,0.944794952681388,0.9958940972222222,3,0,1,,,51.2770881652832,56.03936004638672,52.41132294654846,53.38767637252808,-267.58867705345153,-126.61232362747192,6.301304340362549,-14.731575965881348,2,0.11281489363813277,-20,20,0,tracking,0,0.0
97,562.281000,16.157,1,1,0.015922,orb,1,0.8667736757624398,0.9919487847222223,3,1,0,182.0,18.0,87.40966033935547,45.085418701171875,94.80569763183594,40.640702934265136,-225.19430236816407,-139.35929706573486,41.08909606933594,-24.6928653717041,0,0.2648630191530662,-20,20,0,tracking,0,0.0
98,562.328000,15.393,1,3,0.048010,orb,1,0.8060413354531002,0.9955338541666666,3,0,1,,,89.34085083007812,43.92485427856445,96.7368881225586,39.480138511657714,-223.26311187744142,-140.5198614883423,41.08909606933594,-24.6928653717041,1,0.24930231677781514,-20,20,0,tracking,0,0.0
99,562.359000,47.529,1,3,0.019266,orb,1,0.896124031007752,0.9957204861111111,3,1,0,60.0,19.0,83.2072982788086,37.31392288208008,89.33865196228027,31.871188468933106,-230.66134803771973,-148.1288115310669,34.06307601928711,-30.23741340637207,0,0.5894074410010047,-20,20,0,tracking,0,0.0
100,562.406000,15.005,1,1,0.015012,orb,1,0.9761146496815286,0.996875,3,0,1,,,84.80826568603516,35.892765045166016,90.93961936950683,30.450030632019043,-229.06038063049317,-149.54996936798096,34.06307601928711,-30.23741340637207,1,0.5547797538422607,-20,20,0,tracking,0,0.0
101,562.437000,15.952,1,2,0.025231,orb,1,0.9046153846153846,0.9951302083333333,3,1,0,181.5,18.5,106.79312133789062,31.354310989379883,116.42302726745605,25.309604415893553,-203.57697273254394,-154.69039558410645,53.49947738647461,-33.581703186035156,0,0.43620203306147953,-20,20,0,tracking,0,0.0
102,562.484000,42.612,1,5,0.065484,orb,1,0.7878787878787878,0.9863758680555555,3,1,0,113.0,43.0,110.01911926269531,32.32423782348633,119.76667022705078,26.70086723327637,-200.23332977294922,-153.29913276672363,54.15306091308594,-31.240947723388672,0,0.7969478326461712,-20,20,0,tracking,0,0.0
103,562.515000,16.440,1,0,0.012000,orb,1,0.8006182380216383,0.9979253472222223,3,0,1,,,111.69786071777344,31.35576820373535,121.4454116821289,25.732397613525393,-198.5545883178711,-154.2676023864746,54.15306091308594,-31.240947723388672,1,0.7660661041311828,-20,20,0,tracking,0,0.0
104,562.562000,16.211,1,1,0.005525,orb,1,0.9943502824858758,1.0,3,0,1,,,114.24305725097656,29.88744354248047,123.99060821533203,24.26407295227051,-196.00939178466797,-155.7359270477295,54.15306091308594,-31.240947723388672,2,0.7192454189631948,-20,20,0,tracking,0,0.0
105,562.609000,44.388,1,0,0.005573,orb,1,0.9947437582128777,1.0,3,0,1,,,116.78825378417969,28.419118881225586,126.53580474853516,22.795748291015627,-193.46419525146484,-157.20425170898437,54.15306091308594,-31.240947723388672,3,0.672424733795207,-20,20,0,tracking,0,0.0
106,562.640000,15.719,1,0,0.004557,orb,1,0.9973787680209698,1.0,3,0,1,,,118.46699523925781,27.45064926147461,128.21454620361328,21.82727867126465,-191.78545379638672,-158.17272132873535,54.15306091308594,-31.240947723388672,4,0.6415430052802186,-20,20,0,tracking,0,0.0
107,562.671000,15.661,1,0,0.007368,orb,1,1.0,0.9996440972222222,3,0,1,,,120.14573669433594,26.482179641723633,129.8932876586914,20.858809051513674,-190.1067123413086,-159.14119094848633,54.15306091308594,-31.240947723388672,5,0.610661276765117,-20,20,0,tracking,0,0.0
108,562.718000,27.802,1,1,0.006745,orb,1,0.9960212201591512,0.9992708333333333,3,0,1,,,122.69093322753906,25.01385498046875,132.43848419189453,19.39048439025879,-187.56151580810547,-160.6095156097412,54.15306091308594,-31.240947723388672,6,0.5638405915972422,-20,20,0,tracking,0,0.0
109,562.781000,15.430,1,2,0.008608,orb,1,0.9746434231378764,0.9988802083333334,3,0,1,,,126.10257720947266,23.04567527770996,135.85012817382812,17.422304687500002,-184.14987182617188,-162.5776953125,54.15306091308594,-31.240947723388672,7,0.501080949776368,-20,20,0,tracking,0,0.0
110,562.796000,15.435,1,4,0.028482,orb,1,0.8546603475513428,0.9972178819444445,3,1,0,123.5,21.0,126.0623779296875,22.18336296081543,135.68453300476074,16.502082061767577,-184.31546699523926,-163.49791793823243,53.456417083740234,-31.562671661376953,0,0.8248109227503074,-20,20,0,tracking,0,0.0
111,562.843000,41.587,1,1,0.044646,orb,1,0.8573667711598746,0.9910026041666666,3,0,1,,,128.5748291015625,20.69991683959961,138.19698417663574,15.018635940551757,-181.80301582336426,-164.98136405944825,53.456417083740234,-31.562671661376953,1,0.7763532810388178,-20,20,0,tracking,0,0.0
112,562.875000,46.667,1,3,0.020559,orb,1,0.96,0.996875,3,1,0,182.0,18.5,141.70619201660156,19.427127838134766,152.9516773223877,13.708495483398437,-167.0483226776123,-166.29150451660155,62.474918365478516,-31.770179748535156,0,0.6673593564677227,-18,20,0,tracking,0,0.0
113,562.921000,15.813,1,1,0.019188,orb,1,0.9646697388632872,0.996875,3,0,1,,,144.5800323486328,17.965700149536133,155.82551765441895,12.247067794799804,-164.17448234558105,-167.75293220520018,62.474918365478516,-31.770179748535156,1,0.6289861934707877,-18,20,0,tracking,0,0.0
114,562.953000,16.213,1,1,0.020703,orb,1,0.8788343558282209,0.996875,3,0,1,,,146.5792236328125,16.949054718017578,157.82470893859863,11.23042236328125,-162.17529106140137,-168.76957763671874,62.474918365478516,-31.770179748535156,2,0.602291819212141,-18,20,0,tracking,0,0.0
